primary_genre,all_genres,artist_followers,artist_popularity,track_id,name,artist_names,popularity,album,release_date,mood_label
bollywood,bollywood; ,1709,35,00NksXMaWtsTARuoZmt0GJ,Chamma Chamma,"['Neha Kakkar', 'Romy', 'Arun', 'Ikka']",53,Fraud Saiyaan (Original Motion Picture Soundtrack),2018-01-18,romantic
bollywood,bollywood; hindi pop; desi; hindi pop; bollywood; desi; bangla pop; tollywood; bollywood; desi; telugu pop; hindi pop; gujarati garba; bollywood; hindi pop; desi,166037253,91,01Vpd2oh65RTICFhbdLBDQ,"Satyanaas (From ""Chandu Champion"")","['Pritam', 'Arijit Singh', 'Nakash Aziz', 'Amitabh Bhattacharya', 'Dev Negi']",43,"Satyanaas (From ""Chandu Champion"")",2024-05-24,romantic
,; bhajan,35120,51,02AfA0cUAuVpX2V0oaeSD1,Kyun the Hum Mile,"['Shaurya Mehta', 'Kaushal Kishore']",32,Kyun the Hum Mile,2024-02-02,old_melody
bollywood,bollywood; hindi pop; desi; bhangra; bollywood; bhojpuri pop; bhojiwood; tamil dance,61320500,89,02v9KVBgpXJtuHtr99DuMM,Aila Re Aila,"['Pritam', 'Daler Mehndi', 'Kalpana Patowary']",49,Khatta Meetha,2010-06-21,romantic
ghazal,ghazal; ghazal; bangla pop; hindi pop; bollywood,20631936,78,02zPo0Dt0R4TTFY5zLJZnK,Neele Neele Ambar Par - Male Version,"['Kalyanji-Anandji', 'Kishore Kumar']",72,Kalaakaar (Original Motion Picture Soundtrack),1983-06-10,sad
ghazal,ghazal; bangla pop; hindi pop; bollywood; ; ghazal; hindi pop; bollywood,20631936,78,03GR8YoEsu0qPUGC13X8C1,"Dilbar Mere - From ""Satte Pe Satta""","['Kishore Kumar', 'Anette', 'R. D. Burman']",64,Audiobiography - Kishore Kumar,2012-01-01,sad
bollywood,bollywood; hindi pop; desi; hindi pop; bollywood; desi; bangla pop; bollywood; hindi pop,166037253,91,068HSvCf5MbQfhV4qqaelg,"Haan Main Galat (From ""Love Aaj Kal"")","['Pritam', 'Arijit Singh', 'Shashwat Singh']",58,"Haan Main Galat (From ""Love Aaj Kal"")",2020-01-29,party
bollywood,bollywood; desi; hindi pop,6333269,71,06g9b0J7o8tULKGPZm0wFK,Uff,"['Harshdeep Kaur', 'Benny Dayal']",60,Bang Bang (Original Motion Picture Soundtrack),2014-09-15,romantic
gujarati garba,gujarati garba; bollywood; hindi pop; desi; bollywood; hindi pop; desi; desi pop; gujarati garba,49018784,74,06wmFmUzR15wlWpjTYwVTr,Chalti Hai Kya 9 Se 12,"['Dev Negi', 'Neha Kakkar']",54,Judwaa 2,2017-09-12,party
punjabi hip hop,punjabi hip hop; punjabi pop; indian indie; desi; desi hip hop; hindi indie; hindi hip hop; punjabi pop; punjabi hip hop; indian indie; ,2531774,78,08GYLNhKthS3arMdXsveRI,Haseen,"['Talwiinder', 'NDS', 'Rippy Grewal']",85,Haseen,2025-02-23,old_melody
,,52098,31,0BQfeDa62gc4MvSMHfjQxa,Tu Cheez Badi Hai Mast Mast,['Penn Masala'],0,Musafir (Abridged),2021-09-17,romantic
bollywood,bollywood; hindi pop; desi; desi pop; gujarati garba; bollywood; hindi pop; desi pop; bollywood; hindi pop,5871651,80,0C6G3mqMjVcIgTWbK9nFIE,"Aafat (From ""Liger"")","['Tanishk Bagchi', 'Rashmi Virag', 'Zahrah S Khan']",42,"Aafat (From ""Liger"")",2022-08-06,romantic
bollywood,bollywood; desi; hindi pop; bollywood; hindi pop; desi,5998597,71,0CCkRb9Ga6nluTRiAejwCw,Caller Tune,"['Neeraj Shridhar', 'Neeti Mohan']",55,Long Drive With Himesh Reshammiya,2023-07-20,romantic
bollywood,bollywood; desi; hindi pop; bollywood; hindi pop; desi,16471568,80,0CtZpaOhtzvLV3FfcsVpQo,"Besharam Rang (From ""Pathaan"")","['Vishal-Shekhar', 'Shilpa Rao', 'Caralisa Monteiro', 'Vishal Dadlani', 'Shekhar Ravjiani', 'Kumaar']",67,"Besharam Rang (From ""Pathaan"")",2022-12-12,romantic
bollywood,bollywood; desi; hindi pop; ,16471568,83,0EH7sgeiFqDa3eS7ieW2zs,Chammak Challo,"['Vishal-Shekhar', 'Akon', 'Hamsika Iyer', 'Vishal Dadlani', 'Niranjan Iyengar']",76,Ra-One,2011-09-16,romantic
bollywood,bollywood; hindi pop; desi; sufi; qawwali,41388907,80,0FBQ4NrrHUbR9kus7rzrOj,Dil Diyan Gallan,['Atif Aslam'],77,YRF Top 10 - Falling in Love,2021-02-13,old_melody
kannada pop,kannada pop; bollywood; bollywood; hindi pop; gujarati garba; desi,11090950,74,0FOniWOTfxWVJHncU9Dvst,Dreamum Wakeupum,"['Sowmya Raoh', 'Amit Trivedi']",51,Aiyyaa,2012-09-21,romantic
hindi pop,hindi pop; bollywood,7108504,60,0FYUkPbieYs5KbRxQw3UCe,Yaari Hai,['Tony Kakkar'],8,Yaari Hai,2019-08-04,romantic
gujarati garba,gujarati garba; hindi pop; gujarati pop; bollywood; desi pop; desi,26557461,73,0Jiaz0O4AqnJICa9PxHhaR,Mahiye Jinna Sohna,['Darshan Raval'],67,Dard,2023-08-09,old_melody
,,2787653,0,0JwfzztXrwsgOoL8jNaKFT,,[],0,,0000,chill
bollywood,bollywood; hindi pop; tamil pop; bollywood,21323266,79,0LT0APsnMlmcjpt2ZltCm2,Jab Koi Baat Bigad Jaye,"['Kumar Sanu', 'Sadhana Sargam']",57,Jurm (Original Motion Picture Soundtrack),1991-08-15,sad
bollywood,bollywood; hindi pop; desi pop; desi; bollywood; hindi hip hop; desi; hindi pop; punjabi pop; bhangra; punjabi hip hop; desi; punjabi pop; bollywood; bollywood; desi; hindi pop,37002271,78,0MAL4lkJiJgCwGdO0Q264f,"High Heels Te Nachche (From ""Ki &amp; Ka"") (feat. Jaz Dhami, Aditi Singh Sharma)","['Meet Bros.', 'Yo Yo Honey Singh', 'Jaz Dhami', 'Aditi Singh Sharma']",52,Yo Yo Honey Singh Is Back,2018-03-12,party
bollywood,bollywood; sufi; desi; hindi pop; qawwali; bollywood; hindi pop; desi; kannada pop; marathi pop; bollywood; sufi; hindi pop; bollywood; desi,33208103,86,0NGkK2xo8VoeS6kGWJUTFf,"Pehle Kyun Na Mile (From ""Bhoomi 2025"")","['Salim–Sulaiman', 'Shreya Ghoshal', 'Papon', 'Shraddha Pandit']",56,"Pehle Kyun Na Mile (From ""Bhoomi 2025"")",2025-11-11,old_melody
gujarati garba,gujarati garba; hindi pop; gujarati pop; bollywood; desi pop; desi,26557461,73,0NLOLiHF6Ti0QtX5P7gziI,Nafrat,['Darshan Raval'],73,I Loved You,2025-10-18,old_melody
bollywood,bollywood; hindi hip hop; desi; hindi pop; punjabi pop,37002271,78,0QHEWicUbdyWuHsMcVd1Ka,"Chaar Botal Vodka (From ""Ragini Mms 2"")",['Yo Yo Honey Singh'],66,Yo Yo Honey Singh Is Back,2018-03-12,romantic
hindi pop,hindi pop; bollywood; desi; bangla pop,166037253,91,0R5invf0xH2NTXVnloNRjb,"Palat - Tera Hero Idhar Hai (From ""Main Tera Hero"")",['Arijit Singh'],58,Groove With Arijit Singh,2019-05-22,romantic
bhangra,bhangra; punjabi pop; desi; bollywood; punjabi pop; bhangra; desi,4363403,69,0RWLe6Dx5cWyPuB1sw6eWf,LAAVAN,"['Jasmine Sandlas', 'Mofusion']",69,LAAVAN,2024-12-11,old_melody
hindi pop,hindi pop; bollywood; desi; bangla pop,166037253,91,0RrR3wg4ezBVwm7lyeybir,Suno- Na Sangemarmar,['Arijit Singh'],58,Youngistaan,2014-03-05,chill
sufi,sufi; bollywood; qawwali; punjabi pop; hindi pop; bollywood; desi; ,1315821,73,0TrsGqtFXMWCrF9pPMICY9,Paon Ki Jutti,"['Jyoti Nooran', 'Jaani', 'Bunny']",60,Paon Ki Jutti,2024-05-06,party
bollywood,bollywood; hindi pop,9783183,77,0UZLaEOSIc5kg0cc7eszqC,Manjha,['Vishal Mishra'],31,Manjha,2020-03-17,old_melody
,,114144399,95,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,['The Weeknd'],90,After Hours,2020-03-20,old_melody
hindi pop,hindi pop; bollywood,7108504,60,0WH64t9jFxP9WPzvHujxRk,Laila,['Tony Kakkar'],5,Laila,2020-10-23,romantic
bollywood,bollywood; desi; hindi pop; hindi pop; bollywood; desi; bangla pop; bollywood; hindi pop; desi,166037253,91,0WdbnNKO0Jt4BZACSDQh44,"Ghungroo (From ""War"")","['Vishal-Shekhar', 'Arijit Singh', 'Shilpa Rao', 'Kumaar']",67,"Ghungroo (From ""War"")",2019-09-30,romantic
,,78716,65,0YRpv07J0y7J73X87efpia,I’m Done. - I-Popstar: Vol. 1,['Maan Panu'],80,I-Popstar: Vol. 1 | Episodes 1–3,2025-10-20,old_melody
indian indie,indian indie; hindi indie; lo-fi; ,2668,34,0YdQ6qljvd2PgLi7Rb7r5z,Fidaa,"['Savneet Singh', 'Sunny Subramanian']",47,Fidaa,2025-11-10,old_melody
bollywood,bollywood; desi; hindi pop; hindi pop; bollywood; desi; bangla pop; bollywood; hindi pop; desi; bollywood; desi; hindi pop; sufi,166037253,91,0biCSADTAblvLTLtJz4pXO,Nashe Si Chadh Gayi,"['Vishal-Shekhar', 'Arijit Singh', 'Caralisa Monteiro', 'Jaideep Sahni']",74,Befikre,2016-12-01,romantic
bollywood,bollywood; hindi pop; gujarati garba; desi; bollywood; hindi indie; hindi pop; indian indie; ghazal; desi; sufi; bollywood; hindi pop; desi,11090950,81,0bmp0lE3ArELHqda9PBMVG,"Iktara (From ""Wake Up Sid"")","['Amit Trivedi', 'Kavita Seth', 'Amitabh Bhattacharya']",59,I Love You...Forever,2012-01-30,old_melody
bollywood,bollywood; desi; sufi,131154,50,0eNiqkazTEYJJ8fMRPyJx8,Laila Main Laila,['Pawni Pandey'],65,Raees (Original Motion Picture Soundtrack),2017-01-24,romantic
bollywood,bollywood; hindi pop; desi; sufi; qawwali; bollywood; hindi pop; desi; kannada pop; marathi pop,41388907,86,0fCQRUbk8LIQTdQYGNtGyv,Tere Liye,"['Atif Aslam', 'Shreya Ghoshal']",74,Prince (Original Motion Picture Soundtrack),2010-04-09,old_melody
sufi,sufi; bollywood; hindi pop; qawwali; desi; desi pop; bollywood; hindi pop; gujarati garba; desi; ; bollywood; desi; hindi pop,12518937,73,0g7XeVUi3TuJdSKaQj72Rg,"Naine Ra Lobhi - From ""120 Bahadur""","['Javed Ali', 'Asees Kaur', 'Amjad Nadeem Aamir', 'Javed Akhtar']",51,120 Bahadur (Original Motion Picture Soundtrack),2025-11-04,old_melody
ghazal,ghazal; marathi pop; bangla pop; bollywood; hindi pop,10454034,72,0gWDDSHXescfwtvkx6pYJQ,In Ankhon Ki Masti,['Asha Bhosle'],58,Umrao Jaan,1981-01-01,sad
ghazal,ghazal; tamil dance,4095408,66,0h1MxYbTADaXOb6JfaXcNq,Oh Re Taal Mile Nadi Ke Jal Mein,['Mukesh'],33,Anokhi Raat,1968-01-01,sad
bollywood,bollywood; desi; hindi pop; bollywood; desi; hindi pop; sufi,16471568,80,0hgTkEDY9oIG5DPKN39KHP,Ude Dil Befikre,"['Vishal-Shekhar', 'Benny Dayal', 'Jaideep Sahni']",62,Befikre,2016-12-01,romantic
ghazal,ghazal; hindi pop; ghazal; hindi pop; bollywood,10812910,74,0i6U12LOWlHNngec0HCroE,"Maine Poochha Chand Se - From ""Abdullah""","['Mohammed Rafi', 'R. D. Burman']",59,Audiobiography,2012-01-01,sad
bollywood,bollywood; hindi pop; desi; hindi pop; bollywood; desi; bangla pop,166037253,91,0ldzwWfM7vVxZ9bmxK3Q8m,"Galti Se Mistake (From ""Jagga Jasoos"")","['Pritam', 'Arijit Singh', 'Amit Mishra']",55,"Galti Se Mistake (From ""Jagga Jasoos"")",2017-06-13,romantic
bhajan,bhajan; hindi pop; bollywood; devotional; bhajan; bollywood; hindi pop; devotional,21369186,76,0loZn1c5heXie7OAtvK6nH,Humnava Mere,"['Jubin Nautiyal', 'Manoj Muntashir']",73,Humnava Mere,2018-05-23,chill
